city,year,month,monthly_tmax
Sydney,2011,12,20.65
Sydney,2012,1,24.08
Sydney,2012,2,23.41
Sydney,2012,3,22.17
Sydney,2012,4,21.2
Sydney,2012,5,18.24
Sydney,2012,6,15.69
Sydney,2012,7,15.51
Sydney,2012,8,17.27
Sydney,2012,9,20.13
Sydney,2012,10,20.99
Sydney,2012,11,22.35
Sydney,2012,12,24.66
Sydney,2013,1,26.36
Sydney,2013,2,23.87
Sydney,2013,3,23.7
Sydney,2013,4,21.13
Sydney,2013,5,18.72
Sydney,2013,6,15.97
Sydney,2013,7,16.54
Sydney,2013,8,18.33
Sydney,2013,9,21.95
Sydney,2013,10,23.53
Sydney,2013,11,22.07
Sydney,2013,12,24.56
Sydney,2014,1,25.32
Sydney,2014,2,24.23
Sydney,2014,3,23.9
Sydney,2014,4,21.57
Sydney,2014,5,20.15
Sydney,2014,6,17.16
Sydney,2014,7,16.73
Sydney,2014,8,15.86
Sydney,2014,9,18.89
Sydney,2014,10,22.05
Sydney,2014,11,23.66
Sydney,2014,12,24.17
Sydney,2015,1,25.16
Sydney,2015,2,24.75
Sydney,2015,3,24.25
Sydney,2015,4,20.44
Sydney,2015,5,18.26
Sydney,2015,6,16.32
Sydney,2015,7,14.76
Sydney,2015,8,16.97
Sydney,2015,9,18.19
Sydney,2015,10,23.49
Sydney,2015,11,23.88
Sydney,2015,12,24.5
Sydney,2016,1,24.78
Sydney,2016,2,25.65
Sydney,2016,3,24.89
Sydney,2016,4,22.79
Sydney,2016,5,20.76
Sydney,2016,6,16.65
Sydney,2016,7,16.48
Sydney,2016,8,16.98
Sydney,2016,9,18.75
Sydney,2016,10,21.63
Sydney,2016,11,24.1
Sydney,2016,12,26.06
Sydney,2017,1,28.6
Sydney,2017,2,27.54
Sydney,2017,3,24.35
Sydney,2017,4,21.76
Sydney,2017,5,19.45
Sydney,2017,6,16.96
Sydney,2017,7,17.23
Sydney,2017,8,17.93
Sydney,2017,9,22.47
Sydney,2017,10,22.9
Sydney,2017,11,22.71
Sydney,2017,12,27.15
Sydney,2018,1,27.63
Sydney,2018,2,26.31
Sydney,2018,3,25.65
Sydney,2018,4,24.81
Sydney,2018,5,20.43
Sydney,2018,6,16.52
Sydney,2018,7,18.32
Sydney,2018,8,17.84
Sydney,2018,9,19.54
Sydney,2018,10,20.88
Sydney,2018,11,23.41
Sydney,2018,12,26.14
Sydney,2019,1,28.76
Sydney,2019,2,26.6
Sydney,2019,3,25.54
Sydney,2019,4,23.24
Sydney,2019,5,21.09
Sydney,2019,6,17.29
Sydney,2019,7,17.97
Sydney,2019,8,17.88
Sydney,2019,9,20.37
Sydney,2019,10,22.77
Sydney,2019,11,25.18
Sydney,2019,12,27.7
Sydney,2020,1,27.53
Sydney,2020,2,25.78
Sydney,2020,3,23.81
Sydney,2020,4,22.86
Sydney,2020,5,18.55
Sydney,2020,6,16.98
Sydney,2020,7,16.48
Sydney,2020,8,17.44
Sydney,2020,9,20.86
Sydney,2020,10,22.38
Sydney,2020,11,24.32
Sydney,2020,12,24.24
Sydney,2021,1,25.48
Sydney,2021,2,24.15
Sydney,2021,3,23.58
Sydney,2021,4,22.08
Sydney,2021,5,19.22
Sydney,2021,6,16.63
Sydney,2021,7,16.43
Sydney,2021,8,19.0
Sydney,2021,9,20.83
Sydney,2021,10,22.2
Sydney,2021,11,21.38
Sydney,2021,12,24.11
Sydney,2022,1,25.73
Sydney,2022,2,25.42
Sydney,2022,3,23.26
Sydney,2022,4,22.39
Sydney,2022,5,19.46
Sydney,2022,6,16.46
Sydney,2022,7,15.91
Sydney,2022,8,18.25
Sydney,2022,9,18.73
Sydney,2022,10,21.06
Sydney,2022,11,22.3
Sydney,2022,12,23.26
Sydney,2023,1,25.07
Sydney,2023,2,26.34
Sydney,2023,3,26.41
Sydney,2023,4,21.68
Sydney,2023,5,18.77
Sydney,2023,6,17.86
Sydney,2023,7,18.78
Sydney,2023,8,19.14
Sydney,2023,9,22.96
Sydney,2023,10,24.39
Sydney,2023,11,23.25
Sydney,2023,12,26.43
Sydney,2024,1,26.58
Sydney,2024,2,26.48
Sydney,2024,3,25.46
Sydney,2024,4,21.85
Sydney,2024,5,18.77
Sydney,2024,6,16.01
Sydney,2024,7,16.14
Sydney,2024,8,19.45
Sydney,2024,9,22.15
Sydney,2024,10,21.71
Sydney,2024,11,25.11
Sydney,2024,12,26.84
Adelaide,2005,1,27.29
Adelaide,2005,2,24.65
Adelaide,2005,3,24.76
Adelaide,2005,4,24.05
Adelaide,2005,5,19.16
Adelaide,2005,6,15.81
Adelaide,2005,7,13.85
Adelaide,2005,8,15.53
Adelaide,2005,9,16.91
Adelaide,2005,10,19.62
Adelaide,2005,11,22.62
Adelaide,2005,12,25.18
Adelaide,2006,1,29.27
Adelaide,2006,2,25.54
Adelaide,2006,3,26.46
Adelaide,2006,4,18.5
Adelaide,2006,5,15.55
Adelaide,2006,6,13.87
Adelaide,2006,7,13.32
Adelaide,2006,8,16.05
Adelaide,2006,9,18.91
Adelaide,2006,10,22.1
Adelaide,2006,11,24.7
Adelaide,2006,12,26.43
Adelaide,2007,1,27.2
Adelaide,2007,2,30.22
Adelaide,2007,3,25.63
Adelaide,2007,4,22.84
Adelaide,2007,5,18.33
Adelaide,2007,6,13.11
Adelaide,2007,7,13.83
Adelaide,2007,8,15.76
Adelaide,2007,9,18.46
